category;subcategory;level;question;correct;wrong1;wrong2
Przyroda;Zwierzęta;łatwe;Które zwierzę ma długą szyję, aby jeść liście z wysokich drzew?;Żyrafa;Słoń;Zebra
Przyroda;Zwierzęta;łatwe;Jak nazywa się dom, który budują ptaki dla swoich jajek?;Gniazdo;Nora;Ula
Przyroda;Zwierzęta;średnie;Co robi niedźwiedź przez całą zimę?;Śpi w gawrze;Pływa w morzu;Lata do ciepłych krajów
Przyroda;Zwierzęta;łatwe;Jak nazywa się dziecko krowy?;Cielę;Źrebię;Kurczątko
Przyroda;Zwierzęta;średnie;Które zwierzę nosi swój dom na plecach?;Ślimak;Żółw;Pająk
Przyroda;Las;łatwe;Które zwierzę robi zapasy orzechów na zimę?;Wiewiórka;Wilk;Dzik
Przyroda;Las;średnie;Jak nazywa się czerwony grzyb w białe kropki, którego nie wolno jeść?;Muchomor;Borowik;Kurka
Przyroda;Zwierzęta;łatwe;Który ptak potrafi powtarzać słowa po ludziach?;Papuga;Wróbel;Gołąb
Przyroda;Morze;średnie;Które zwierzę morskie ma osiem ramion?;Ośmiornica;Rekin;Wieloryb
Przyroda;Zwierzęta;łatwe;Z czego wykluwają się małe kurczaczki?;Z jajka;Z mleka;Z chleba
Bajki i Legendy;Polskie Legendy;średnie;Jak nazywał się groźny potwór, który mieszkał w jamie pod zamkiem w Krakowie?;Smok Wawelski;Bazyliszek;Syrenka
Bajki i Legendy;Postacie;łatwe;Jak ma na imię bałwanek z bajki "Kraina Lodu"?;Olaf;Sven;Kristoff
Bajki i Legendy;Klasyka;łatwe;Z czego zbudował swój domek trzeci, najmądrzejszy prosiaczek?;Z cegieł;Ze słomy;Z patyków
Bajki i Legendy;Postacie;średnie;Kto pomagał Kopciuszkowi przygotować się na bal?;Dobra Wróżka;Zła Macocha;Siedmiu Krasnoludków
Bajki i Legendy;Klasyka;łatwe;Kogo spotkał w lesie Czerwony Kapturek?;Wilka;Niedźwiedzia;Tygrysa
Bajki i Legendy;Superbohaterowie;średnie;Czego używa Spiderman, żeby wspinać się po budynkach?;Pajęczyny;Drabiny;Latającego dywanu
Bajki i Legendy;Postacie;średnie;Ile krasnoludków mieszkało ze Śnieżką?;Siedmiu;Trzech;Dziesięciu
Bajki i Legendy;Klasyka;łatwe;Jak nosił buty bajkowy kot?;Na łapach (Kot w butach);Na ogonie;Na uszach
Bajki i Legendy;Postacie;średnie;Jak ma na imię myszka, która jest narzeczoną Myszki Miki?;Minnie;Daisy;Lola
Bajki i Legendy;Postacie;łatwe;Kto ukradł święta w popularnej zielonej bajce?;Grinch;Shrek;Hulk
Polska i Świat;Symbole;łatwe;Jakie kolory ma flaga Polski?;Biały i czerwony;Żółty i niebieski;Zielony i biały
Polska i Świat;Symbole;średnie;Jakie zwierzę znajduje się w godle Polski?;Orzeł;Lew;Bocian
Polska i Świat;Miasta;średnie;Jak nazywa się stolica Polski?;Warszawa;Kraków;Gdańsk
Polska i Świat;Geografia;łatwe;Jak nazywa się największe polskie morze?;Bałtyk;Tatry;Wisła
Polska i Świat;Tradycje;średnie;Co malujemy i wkładamy do koszyczka na Wielkanoc?;Jajka (pisanki);Bombki;Prezenty
Polska i Świat;Tradycje;łatwe;Kto przynosi prezenty pod choinkę?;Święty Mikołaj;Zając;Wróżka Zębuszka
Polska i Świat;Pieniądze;średnie;Jak nazywają się pieniądze, których używamy w Polsce?;Złote;Euro;Dolary
Codzienne Odkrycia;Czas;łatwe;Ile dni ma tydzień?;Siedem;Pięć;Dziesięć
Codzienne Odkrycia;Czas;średnie;Po której porze roku następuje lato?;Po wiośnie;Po jesieni;Po zimie
Codzienne Odkrycia;Pogoda;łatwe;Co pojawia się na niebie po deszczu, gdy wychodzi słońce?;Tęcza;Śnieg;Piorun
Codzienne Odkrycia;Kosmos;średnie;Która planeta oświetla nas w dzień?;Słońce;Księżyc;Mars
Codzienne Odkrycia;Kosmos;średnie;Co świeci na niebie w nocy i zmienia swój kształt?;Księżyc;Słońce;Chmura
Codzienne Odkrycia;Ciało;łatwe;Ile palców masz u jednej ręki?;Pięć;Dziesięć;Trzy
Codzienne Odkrycia;Ciało;średnie;Czym czujemy zapach kwiatów?;Nosem;Uchem;Okiem
Codzienne Odkrycia;Higiena;łatwe;Ile razy dziennie powinno się myć zęby?;Przynajmniej dwa;Ani razu;Raz na tydzień
Codzienne Odkrycia;Ciało;średnie;Co w Twoim ciele bije jak mały bębenek?;Serce;Brzuch;Głowa
Kulinaria;Jedzenie;łatwe;Z czego robi się frytki?;Z ziemniaków;Z jabłek;Z marchewki
Kulinaria;Jedzenie;średnie;Co dają nam krowy do picia?;Mleko;Sok;Herbatę
Kulinaria;Jedzenie;łatwe;Jak nazywa się żółty owoc, który jest bardzo kwaśny?;Cytryna;Truskawka;Banan
Kulinaria;Jedzenie;średnie;Z czego pszczoły robią słodki miód?;Z nektaru kwiatów;Z cukru;Z piasku
Kulinaria;Jedzenie;łatwe;Który owoc jest czerwony i ma małe pestki na wierzchu?;Truskawka;Jagoda;Śliwka
Bezpieczeństwo;Ruch drogowy;łatwe;Co musisz zrobić, gdy na sygnalizatorze pali się czerwone światło?;Zatrzymać się;Biec szybko;Skakać
Bezpieczeństwo;Numery;średnie;Na jaki numer dzwonimy, gdy potrzebna jest pomoc (numer alarmowy)?;112;500;000
Bezpieczeństwo;Ruch drogowy;średnie;Jak nazywa się bezpieczne miejsce do przechodzenia przez jezdnię?;Pasy (zebra);Most;Dziura
Zawody;Praca;łatwe;Kto lata samolotem i nim steruje?;Pilot;Kierowca;Maszynista
Zawody;Praca;średnie;Kto gasi pożary i zdejmuje koty z drzew?;Strażak;Policjant;Lekarz
Zawody;Praca;średnie;Kto leczy chore zwierzęta?;Weterynarz;Dentysta;Kucharz
Zawody;Praca;łatwe;Kto uczy dzieci w szkole?;Nauczyciel;Piekarz;Sprzedawca
Sport;Zabawa;łatwe;Ile kół ma rower dla dorosłego człowieka?;Dwa;Cztery;Trzy
Sport;Zabawa;średnie;W jaką grę gramy, kopiąc piłkę do bramki?;Piłka nożna;Koszykówka;Siatkówka
Przyroda;Zwierzęta;łatwe;Które zwierzę ma trąbę i wielkie uszy?;Słoń;Hipopotam;Nosorożec
Przyroda;Zwierzęta;średnie;Jak nazywa się ptak, który przesypia dzień, a poluje w nocy?;Sowa;Wróbel;Jaskółka
Przyroda;Zwierzęta;łatwe;Z czego robią miód pszczoły?;Z kwiatów;Z liści;Z jagód
Przyroda;Zwierzęta;średnie;Które zwierzę zmienia kolor, żeby się schować?;Kameleon;Żaba;Mysz
Przyroda;Zwierzęta;łatwe;Jak nazywa się dom konia?;Stajnia;Kurnik;Buda
Przyroda;Las;łatwe;Jak nazywa się owoc dębu, który zbierają dzieci jesienią?;Żołądź;Kasztan;Szyszka
Przyroda;Las;średnie;Które zwierzę ma na grzbiecie ostre igły do obrony?;Jeż;Zając;Sarna
Przyroda;Morze;średnie;Jak nazywa się największe zwierzę żyjące w oceanie?;Wieloryb;Delfin;Złota rybka
Bajki i Legendy;Polskie Legendy;średnie;Co podał szewczyk Dratewka Smokowi Wawelskiemu?;Barana wypchanego siarką;Kawałek tortu;Miseczkę mleka
Bajki i Legendy;Postacie;łatwe;Kto mieszka w chatce na kurzej łapce?;Baba Jaga;Królewna Śnieżka;Pinokio
Bajki i Legendy;Klasyka;średnie;Z czego zrobiony był Pinokio?;Z drewna;Z plasteliny;Z metalu
Bajki i Legendy;Postacie;łatwe;Jak ma na imię ogr, który jest zielony i mieszka na bagnie?;Shrek;Fiona;Osioł
Bajki i Legendy;Klasyka;średnie;Co zgubił Kopciuszek uciekając z balu?;Szklany pantofelek;Złoty pierścionek;Czerwoną wstążkę
Bajki i Legendy;Superbohaterowie;średnie;Który bohater ma tarczę z gwiazdą i jest bardzo silny?;Kapitan Ameryka;Iron Man;Batman
Polska i Świat;Symbole;średnie;Jak nazywa się miasto, w którym mieszka syrenka?;Warszawa;Kraków;Poznań
Polska i Świat;Geografia;średnie;Gdzie mieszkają białe niedźwiedzie (polarne)?;Na mroźnej północy;W dżungli;Na pustyni
Polska i Świat;Tradycje;łatwe;Co kładziemy na stole wigilijnym pod obrusem?;Siano;Prezenty;Kwiaty
Polska i Świat;Miasta;średnie;W którym polskim mieście można spotkać wiele małych figurek krasnali?;Wrocław;Gdynia;Lublin
Codzienne Odkrycia;Czas;łatwe;Która pora roku przychodzi po zimie i przynosi kwiaty?;Wiosna;Lato;Jesień
Codzienne Odkrycia;Czas;średnie;Ile godzin ma doba (dzień i noc razem)?;24;12;7
Codzienne Odkrycia;Pogoda;średnie;Z czego zrobione są chmury?;Z małych kropelek wody;Z waty cukrowej;Z dymu
Codzienne Odkrycia;Kosmos;średnie;Jak nazywa się człowiek, który leci rakietą w kosmos?;Astronauta;Kierowca;Pilot
Codzienne Odkrycia;Ciało;średnie;Gdzie znajduje się mózg?;W głowie;W brzuchu;W łokciu
Codzienne Odkrycia;Higiena;łatwe;Czym myjemy ręce, żeby pozbyć się bakterii?;Mydłem;Sokiem;Piaskiem
Kulinaria;Jedzenie;średnie;Z czego piecze się chleb?;Z mąki;Z soli;Z ryżu
Kulinaria;Jedzenie;łatwe;Jak nazywa się włoski placek z serem i sosem pomidorowym?;Pizza;Naleśnik;Pieróg
Kulinaria;Jedzenie;średnie;Jaki kolor ma dojrzały pomidor?;Czerwony;Niebieski;Fioletowy
Bezpieczeństwo;Ruch drogowy;średnie;Co trzeba założyć na głowę przed jazdą na rowerze?;Kask;Czapkę z daszkiem;Koronę
Bezpieczeństwo;Numery;średnie;Jakiego koloru jest wóz strażacki?;Czerwonego;Niebieskiego;Zielonego
Zawody;Praca;średnie;Kto buduje domy z cegieł?;Murarz;Piekarz;Fryzjer
Zawody;Praca;średnie;Kto lata w kosmos, żeby badać gwiazdy?;Kosmonauta;Marynarz;Górnik
Sport;Zabawa;średnie;Na czym jeździmy zimą po lodzie?;Na łyżwach;Na nartach;Na rolkach
Przyroda;Zwierzęta;łatwe;Które zwierzę ma twardą skorupę i porusza się bardzo powoli?;Żółw;Zając;Pies
Przyroda;Zwierzęta;średnie;Jak nazywa się największy ptak na świecie, który nie potrafi latać, ale bardzo szybko biega?;Struś;Pingwin;Kura
Przyroda;Zwierzęta;łatwe;Które zwierzę lubi jeść banany i skakać po drzewach?;Małpa;Tygrys;Słoń
Przyroda;Zwierzęta;średnie;Gdzie mieszkają małe kangury zaraz po urodzeniu?;W torbie u mamy;W gnieździe;W norze
Przyroda;Las;łatwe;Które drzewo zostaje zielone nawet zimą i ubieramy je na święta?;Choinka (Świerk/Jodła);Dąb;Brzoza
Przyroda;Las;średnie;Jak nazywają się rogi jelenia?;Poroże;Pazury;Kopyta
Przyroda;Morze;średnie;Jak nazywa się bardzo inteligentne zwierzę morskie, które lubi skakać nad wodą i bawić się z ludźmi?;Delfin;Rekin;Krab
Bajki i Legendy;Polskie Legendy;średnie;Co robiła Warszawska Syrenka, żeby chronić miasto?;Trzymała miecz i tarczę;Śpiewała piosenki;Piekła pierniki
Bajki i Legendy;Postacie;łatwe;Jak nazywa się chłopiec, któremu rósł nos, gdy kłamał?;Pinokio;Piotruś Pan;Kubuś Puchatek
Bajki i Legendy;Klasyka;średnie;Co krasnoludki wydobywały w kopalni w bajce o Śnieżce?;Diamenty i złoto;Węgiel;Sól
Bajki i Legendy;Postacie;łatwe;Jak ma na imię najlepszy przyjaciel Kubusia Puchatka, który jest bardzo mały?;Prosiaczek;Tygrysek;Kłapouchy
Bajki i Legendy;Klasyka;średnie;W co zamieniła się dynia w bajce o Kopciuszku?;W karocę;W statek;W łóżko
Bajki i Legendy;Superbohaterowie;średnie;Jak nazywa się bohater, który lata w żelaznej, czerwono-złotej zbroi?;Iron Man;Batman;Tarzan
Polska i Świat;Symbole;łatwe;Jak nazywa się najdłuższa rzeka w Polsce?;Wisła;Odra;Warta
Polska i Świat;Geografia;średnie;Jak nazywają się najwyższe góry w Polsce?;Tatry;Beskidy;Sudety
Polska i Świat;Tradycje;łatwe;Co robimy z dyni na jesienne święto Halloween?;Wycinamy lampiony;Robimy bałwana;Malujemy ją na niebiesko
Polska i Świat;Miasta;średnie;W którym mieście znajduje się słynny Koziołek, który tryka się na wieży ratusza?;Poznań;Toruń;Wrocław
Codzienne Odkrycia;Czas;łatwe;Ile miesięcy ma rok?;Dwanaście;Siedem;Cztery
Codzienne Odkrycia;Czas;średnie;Jak nazywa się czas, kiedy jesteśmy w przedszkolu i świeci słońce?;Dzień;Noc;Wieczór
Codzienne Odkrycia;Pogoda;średnie;Z czego robi się lód na kałużach?;Z zamarzniętej wody;Z cukru;Z białego piasku
Codzienne Odkrycia;Kosmos;średnie;Jak nazywa się nasza planeta, na której mieszkamy?;Ziemia;Mars;Jowisz
Codzienne Odkrycia;Ciało;średnie;Dzięki czemu możemy zginać rękę w połowie?;Dzięki łokciowi;Dzięki kolanu;Dzięki szyi
Codzienne Odkrycia;Higiena;łatwe;Co trzeba zrobić z owocami przed ich zjedzeniem?;Umyć je;Pomalować je;Schować do plecaka
Kulinaria;Jedzenie;średnie;Z czego robi się popcorn?;Z kukurydzy;Z ryżu;Z pszenicy
Kulinaria;Jedzenie;łatwe;Jak nazywają się brązowe słodycze w kostkach zrobione z kakao?;Czekolada;Żelki;Lizaki
Kulinaria;Jedzenie;średnie;Co jest głównym składnikiem zupy pomidorowej?;Pomidory;Ogórki;Dynia
Bezpieczeństwo;Ruch drogowy;średnie;Kogo musimy zawsze trzymać za rękę przechodząc przez ulicę?;Osobę dorosłą;Pieska;Pluszowego misia
Bezpieczeństwo;Numery;średnie;Jaki sygnał wydaje karetka pogotowia, gdy spieszy się do chorego?;Syrenę (io-io);Dzwonek;Muzykę z bajki
Zawody;Praca;średnie;Kto naprawia zepsute samochody w warsztacie?;Mechanik;Krawiec;Piekarz
Zawody;Praca;średnie;Kto lata w kosmos, żeby badać gwiazdy?;Astronauta;Marynarz;Górnik
Sport;Zabawa;łatwe;W co gramy, używając rakiety i małej piłeczki nad siatką?;Tenis;Hokej;Bieganie
Sport;Zabawa;średnie;Na czym jeździmy, odpychając się jedną nogą od ziemi, trzymając ręce na kierownicy?;Na hulajnodze;Na nartach;Na sankach
Przyroda;Zwierzęta;łatwe;Który ptak jako pierwszy przylatuje do nas na wiosnę i ma czerwony brzuszek?;Giez (lub Rudzik);Wrona;Kaczka
Przyroda;Zwierzęta;średnie;Jak nazywa się największy kot na świecie, który ma futro w paski?;Tygrys;Lew;Kot domowy
Przyroda;Zwierzęta;łatwe;Które zwierzę potrafi latać, choć nie jest ptakiem i śpi głową w dół?;Nietoperz;Wróbel;Wiewiórka
Przyroda;Zwierzęta;średnie;Jak nazywa się domek, w którym mieszkają pszczoły?;Ul;Nora;Gniazdo
Przyroda;Las;średnie;Jak nazywa się małe zwierzątko z kolcami, które zwija się w kulkę?;Jeż;Mysz;Zając
Przyroda;Las;łatwe;Który ptak "puka" w drzewa, szukając pod korą owadów?;Dzięcioł;Sowa;Bocian
Przyroda;Morze;średnie;Co znajduje się wewnątrz muszli, którą możemy znaleźć na plaży?;Ślimak morski;Ryba;Kamień
Bajki i Legendy;Polskie Legendy;średnie;Z czego zrobione były słynne pierniki z Torunia?;Z mąki i miodu;Z piasku i wody;Z czekolady i soli
Bajki i Legendy;Postacie;łatwe;Kto był najlepszym przyjacielem Shreka?;Osioł;Kot w Butach;Ciastek
Bajki i Legendy;Klasyka;średnie;Kto obudził Śpiącą Królewnę?;Książę;Krasnoludek;Dobra wróżka
Bajki i Legendy;Postacie;łatwe;Jak ma na imię piesek, który jest strażakiem w "Psiu Patrolu"?;Marshall;Chase;Skye
Bajki i Legendy;Klasyka;średnie;Czym krasnoludki podróżowały do pracy w kopalni?;Szły pieszo;Samochodem;Samolotem
Bajki i Legendy;Superbohaterowie;średnie;Który bohater mieszka w jaskini i ma czarny kostium?;Batman;Superman;Spiderman
Polska i Świat;Symbole;łatwe;Co jemy tradycyjnie w Tłusty Czwartek?;Pączki;Lody;Marchewki
Polska i Świat;Geografia;średnie;Jak nazywa się biało-czarny ptak, który buduje duże gniazda na dachach domów?;Bocian;Jaskółka;Orzeł
Polska i Świat;Tradycje;łatwe;Co robimy w śmigus-dyngus (Lany Poniedziałek)?;Polewamy się wodą;Dajemy sobie prezenty;Ubieramy choinkę
Polska i Świat;Miasta;średnie;W którym mieście można zobaczyć słynnego Smoka ziejącego ogniem?;Kraków;Warszawa;Poznań
Codzienne Odkrycia;Czas;łatwe;Która godzina jest zwykle czasem obiadu?;Południe (12-14);Północ;Wieczór
Codzienne Odkrycia;Czas;średnie;Jak nazywa się pierwszy dzień tygodnia, w którym wracamy do przedszkola?;Poniedziałek;Sobota;Niedziela
Codzienne Odkrycia;Pogoda;średnie;Z czego ulepiony jest bałwan?;Ze śniegu;Z piasku;Z waty
Codzienne Odkrycia;Kosmos;średnie;Co to jest Droga Mleczna?;Zbiór gwiazd na niebie;Rzeka z mleka;Droga do sklepu
Codzienne Odkrycia;Ciało;średnie;Którym organem oddychamy, nabierając powietrze?;Płucami;Sercem;Żołądkiem
Codzienne Odkrycia;Higiena;łatwe;Czym czeszemy włosy, żeby nie były poplątane?;Szczotką lub grzebieniem;Widelcem;Łopatką
Kulinaria;Jedzenie;średnie;Z czego robi się ketchup?;Z pomidorów;Z truskawek;Z buraków
Kulinaria;Jedzenie;łatwe;Jak nazywa się zimny deser w wafelku, który jemy latem?;Lody;Zupa;Chleb
Kulinaria;Jedzenie;średnie;Jaki smak ma cukier?;Słodki;Słony;Kwaśny
Bezpieczeństwo;Ruch drogowy;średnie;Co musi mieć na sobie rowerzysta po zmroku, żeby go było widać?;Odblaski;Maskę;Płaszcz
Bezpieczeństwo;Numery;średnie;Jakiego koloru jest radiowóz policyjny w Polsce?;Niebiesko-srebrny;Żółty;Fioletowy
Zawody;Praca;średnie;Kto pracuje w bibliotece i podaje nam książki?;Bibliotekarz;Listonosz;Lekarz
Zawody;Praca;średnie;Kto szyje ubrania z materiału?;Krawiec;Szewc;Malarz
Sport;Zabawa;łatwe;W co bawimy się, gdy jedna osoba zakrywa oczy, a reszta ucieka?;W chowanego;W berka;W klasy
Sport;Zabawa;średnie;Ile osób gra w jednej drużynie piłki nożnej na boisku (seniorzy)?;11;2;100
Przyroda;Zwierzęta;łatwe;Które zwierzę ma długi, puszysty ogon i skacze po drzewach, jedząc orzeszki?;Wiewiórka;Zając;Lis
Przyroda;Zwierzęta;średnie;Jak nazywa się ptak, który nie lata, świetnie pływa i mieszka na zimnej Antarktydzie?;Pingwin;Mewa;Wróbel
Przyroda;Zwierzęta;łatwe;Ile nóg ma pająk?;Osiem;Sześć;Cztery
Przyroda;Zwierzęta;średnie;Jak nazywa się największy lądowy ssak, który ma trąbę?;Słoń;Wieloryb;Żyrafa
Przyroda;Las;łatwe;Jak nazywa się drzewo, na którym rosną kasztany?;Kasztanowiec;Dąb;Sosna
Przyroda;Las;średnie;Które leśne zwierzę buduje tamy na rzekach z patyków i błota?;Bóbr;Wydra;Dzik
Przyroda;Morze;łatwe;Jak nazywa się duża ryba, która ma bardzo ostre zęby i płetwę na grzbiecie?;Rekin;Złota rybka;Konik morski
Bajki i Legendy;Polskie Legendy;średnie;Co warszawski Bazyliszek robił z ludźmi, gdy na nich spojrzał?;Zmieniał ich w kamień;Zmieniał ich w żaby;Rozśmieszał ich
Bajki i Legendy;Postacie;łatwe;Jak ma na imię siostra Elzy z bajki "Kraina Lodu"?;Anna;Bella;Jasmina
Bajki i Legendy;Klasyka;średnie;Jak nazywał się dom Baby Jagi?;Chatka na kurzej łapce;Zamek z piasku;Pałac ze złota
Bajki i Legendy;Postacie;łatwe;Z czego zbudowany był bałwanek Olaf?;Ze śniegu;Z waty;Z plasteliny
Bajki i Legendy;Klasyka;średnie;Co połknął wilk w bajce o Czerwonym Kapturku?;Babcię i Kapturka;Trzy świnki;Siedem krasnoludków
Bajki i Legendy;Superbohaterowie;średnie;Który superbohater potrafi latać i ma na piersi wielką literę S?;Superman;Batman;Spiderman
Polska i Świat;Symbole;łatwe;Jakie jest nasze polskie godło?;Biały orzeł w koronie;Lew;Smok
Polska i Świat;Geografia;średnie;Która rzeka przepływa przez Warszawę i Kraków?;Wisła;Odra;Warta
Polska i Świat;Tradycje;łatwe;Co dzieci znajdują w butach rano 6 grudnia?;Prezenty od Mikołaja;Wodę;Piasek
Polska i Świat;Miasta;średnie;Z jakiego miasta pochodzą pyszne pierniki?;Toruń;Gdańsk;Poznań
Codzienne Odkrycia;Czas;łatwe;Kiedy na niebie widać gwiazdy i księżyc?;W nocy;W dzień;W południe
Codzienne Odkrycia;Czas;średnie;Jak nazywa się pora dnia, kiedy słońce wstaje?;Rano;Wieczór;Noc
Codzienne Odkrycia;Pogoda;średnie;Co powstaje z zamarzniętych kropelek wody, które spadają z nieba zimą?;Śnieg;Deszcz;Liście
Codzienne Odkrycia;Kosmos;średnie;Z czego zbudowane są gwiazdy, które widzimy w nocy?;Z gorących gazów;Z papieru;Z lodu
Codzienne Odkrycia;Ciało;średnie;Czym słyszymy muzykę i głosy?;Uszami;Oczami;Nosem
Codzienne Odkrycia;Higiena;łatwe;Co należy zrobić z rękami, gdy wrócimy z dworu?;Umyć je mydłem;Wycierać o spodnie;Nic nie robić
Kulinaria;Jedzenie;średnie;Jaki kolor ma ogórek?;Zielony;Niebieski;Żółty
Kulinaria;Jedzenie;łatwe;Co pszczoły zbierają z kwiatów, żeby zrobić miód?;Pyłek i nektar;Wodę;Ziemię
Kulinaria;Jedzenie;średnie;Z czego robi się makaron?;Z mąki i wody;Z cukru;Z owoców
Bezpieczeństwo;Ruch drogowy;średnie;Co musi zrobić samochód, gdy człowiek wchodzi na pasy?;Zatrzymać się;Przyśpieszyć;Trąbić
Bezpieczeństwo;Numery;średnie;Jakiego koloru jest mundur policjanta?;Granatowy;Pomarańczowy;Różowy
Zawody;Praca;średnie;Kto bada nasze gardło i przepisuje syrop, gdy jesteśmy chorzy?;Lekarz;Fryzjer;Kucharz
Zawody;Praca;średnie;Kto piecze rano świeże bułeczki i chleb?;Piekarz;Malarz;Policjant
Sport;Zabawa;łatwe;W co gramy, kiedy musimy trafić pomarańczową piłką do kosza?;Koszykówka;Piłka nożna;Pływanie
Sport;Zabawa;średnie;Na czym jeździmy zimą z górki, trzymając się sznurka?;Na sankach;Na rowerze;Na hulajnodze
Przyroda;Zwierzęta;średnie;Jak nazywa się ptak, który nie buduje własnego gniazda i podrzuca jajka innym?;Kukułka;Wróbel;Gołąb
Przyroda;Zwierzęta;średnie;Które zwierzę potrafi zmieniać kolor skóry, aby upodobnić się do otoczenia?;Kameleon;Żaba;Jaszczurka
Przyroda;Zwierzęta;łatwe;Gdzie mieszkają kury i koguty na wsi?;W kurniku;W budzie;W norze
Przyroda;Zwierzęta;średnie;Jak nazywa się samiec owcy, który ma kręcone rogi?;Baran;Kozioł;Byk
Przyroda;Las;łatwe;Jak nazywają się jadalne owoce leśne, które są małe, okrągłe i granatowe?;Jagody;Maliny;Kasztany
Przyroda;Las;średnie;Który ptak nocny słynie z tego, że ma bardzo duże oczy i kręci głową dookoła?;Sowa;Dzięcioł;Jastrząb
Przyroda;Morze;średnie;Z czego zrobione są wyspy na oceanie, które budują malutkie zwierzątka?;Z koralowca;Z plastiku;Z piasku
Bajki i Legendy;Polskie Legendy;średnie;Co według legendy rzucił szewczyk Dratewka pod nogi smokowi?;Skórę barana z siarką;Kamień;Worek mąki
Bajki i Legendy;Postacie;łatwe;Jak nazywa się drewniany pajacyk, któremu rośnie nos, gdy kłamie?;Pinokio;Piotruś Pan;Kubuś Puchatek
Bajki i Legendy;Klasyka;średnie;W co zamienił się brzydki kaczorek w bajce Andersena?;W łabędzia;W gęś;W indyka
Bajki i Legendy;Postacie;łatwe;Jak ma na imię mały piesek z plamką, który ma własną bajkę?;Reksio;Burek;Pikuś
Bajki i Legendy;Klasyka;średnie;Jakiego koloru był kapturek dziewczynki, która szła do babci?;Czerwonego;Niebieskiego;Zielonego
Bajki i Legendy;Superbohaterowie;średnie;Który superbohater jest bardzo silny, zielony i złości się, gdy walczy?;Hulk;Iron Man;Batman
Polska i Świat;Symbole;łatwe;Jak nazywa się polski taniec narodowy, w którym tancerze szybko wirują?;Krakowiak;Balet;Taniec nowoczesny
Polska i Świat;Geografia;średnie;Jak nazywa się kraina w Polsce, gdzie jest bardzo dużo jezior?;Mazury;Góry;Pustynia
Polska i Świat;Tradycje;łatwe;Co robimy w wieczór 24 grudnia przed jedzeniem kolacji?;Dzielimy się opłatkiem;Malujemy jajka;Puszczamy fajerwerki
Polska i Świat;Miasta;średnie;Jak nazywa się miasto nad morzem, w którym znajduje się słynny dźwig Żuraw?;Gdańsk;Kraków;Zakopane
Codzienne Odkrycia;Czas;łatwe;Co następuje zaraz po wieczorze, gdy idziemy spać?;Noc;Południe;Rano
Codzienne Odkrycia;Czas;średnie;Jak nazywa się dzień, który był wczoraj (dzień przed dzisiejszym)?;Wczoraj;Jutro;Pojutrze
Codzienne Odkrycia;Pogoda;średnie;Co musimy wziąć z domu, gdy na dworze mocno wieje i pada deszcz?;Parasol;Okulary przeciwsłoneczne;Wiatraczek
Codzienne Odkrycia;Kosmos;średnie;Która planeta ma wokół siebie wielkie, widoczne pierścienie?;Saturn;Ziemia;Mars
Codzienne Odkrycia;Ciało;średnie;Czym czujesz, że jedzenie jest słodkie lub słone?;Językiem;Nosem;Palcami
Codzienne Odkrycia;Higiena;łatwe;Czym wycieramy ciało po kąpieli, żeby być suchym?;Ręcznikiem;Kocem;Ubraniem
Kulinaria;Jedzenie;średnie;Z czego robi się tradycyjne polskie pierogi?;Z ciasta i farszu;Z cukierków;Z trawy
Kulinaria;Jedzenie;łatwe;Jaki kolor ma banan, gdy jest już dobry do zjedzenia?;Żółty;Fioletowy;Zielony
Kulinaria;Jedzenie;średnie;Co jest potrzebne, żeby herbata była słodka?;Cukier lub miód;Sól;Pieprz
Bezpieczeństwo;Ruch drogowy;średnie;Gdzie powinniśmy iść, jeśli nie ma chodnika?;Początkowo lewą stroną drogi;Środkiem;Prawą stroną
Bezpieczeństwo;Numery;średnie;Jak nazywa się auto, które przewozi chorych ludzi do szpitala?;Ambulans (Karetka);Radiowóz;Śmieciarka
